,- epsilon_y RelativePoisson_avgside,nu RelativePoisson_avgside
0,0.005,0.30909672568202
1,0.01,0.37792650072900064
2,0.015,0.3452287386296414
3,0.02,0.38333795434526413
4,0.025,0.3949071931938545
5,0.03,0.3757814632921278
6,0.035,0.3153635684609618
7,0.04,0.2995066012213635
8,0.045,0.2473029259047543
9,0.05,0.36998747485658334
