,- epsilon_y,nu AveragePoisson,nu RelativePoisson
0,0.005173711647722829,0.21666119452665797,0.21666119452665797
1,0.007719337699941019,0.33034571702298504,0.5613973036032446
2,0.011060823283576661,0.26266464839926235,0.10631113092247808
3,0.013372189269639578,0.3384502812380661,0.7011152582769793
4,0.016382587293109308,0.3025774352841536,0.14323023866878687
5,0.019258676211983464,0.3145196492819508,0.3825440980422102
6,0.021665620305038123,0.3449606813095827,0.5885284405568549
7,0.024869673316529017,0.312530755325285,0.09324148003038417
8,0.027317847181226738,0.3457277263165193,0.6829577881006421
9,0.030390714555671224,0.32727139312183334,0.16319425333659227
10,0.03349169313805414,0.3223057042225729,0.27364015239740586
11,0.03612352689461745,0.33506679857358856,0.49745952381473985
12,0.03973363068744391,0.31012038501376726,0.06050084694311388
13,0.04251976374091472,0.3216977345599401,0.4868047565070884
14,0.04576567121755884,0.3060950120895442,0.1017071550942495
15,0.04878668903069442,0.29803711597854743,0.17596732131607729
16,0.05150972803968064,0.30436008015885624,0.417643983253506
17,0.05480373691657543,0.2834781355363866,-0.04306114490934571
18,0.057271900973584845,0.28983653992993824,0.4310201539623143
