,- epsilon_y RelativePoisson_avgside,nu RelativePoisson_avgside
0,0.005,0.29195575250211686
1,0.01,0.42024769656552396
2,0.015,0.41986509003929884
3,0.02,0.3892033727911641
4,0.025,0.3929232865771946
5,0.03,0.3590487655638399
6,0.035,0.30893411894566586
7,0.04,0.07358508706145632
8,0.045,-0.056006675233237865
9,0.05,-0.36091516552882
